text,label
"""Orange Is the New Black"" star Yael Stone is renouncing her U.S. green card to return to her native Australia in order to fight climate change.",0
"""We have one beautiful law,"" Trump recently said in his characteristically bizarre syntax and diction, repeating the word ""beautiful.""",1
"...immigrants as criminals and eugenics, all of which were once considered fringe and extreme. White nationalists embrace white supremacist and white separatist views.",1
"...we sounded the alarm in the early months of Trump’s presidency, when prime-time Fox News host Tucker Carlson began to experiment with segments that used euphemisms like “Western civilization” to package the idea that white people are inherently more civilized while people of color are a threat to national stability.",1
"[Black Lives Matter] is essentially a non-falsifiable religious cult that sets itself specifically against Christianity, just like the French Revolution did.",1
[Democrats employ] their full arsenal to delegitimize the Trump presidency for the apparent crime of winning the 2016 election.,1
[Newsoms's] obsession with masks has created an almost hostile environment in our neighborhoods and streets.,1
[Newsoms's] onslaught of propaganda ignores conflicting science on mask-wearing (some studies suggest it may even increase infection) and vilifying those who ever leave their house with a wish to breath unimpeded oxygen as they walk down the sidewalk alone.,1
"[The police] now prefer to think of themselves more like glorified social workers, there to heal the wounds of a broken society by showing off their skateboarding skills at Extinction Rebellion protests and putting on makeup and rainbow lanyards to prance embarrassingly at Gay Pride festivals.",1
‘A new low’: Washington Post media critic blows up Tucker Carlson’s absurd lies about white nationalism,1
‘Gangster capitalist’ Trump is running a ‘mafia state’ — and things are about to get worse: Pulitzer Prize-winning journalist,1
‘The most progressive president since FDR’: Biden's policy proposals reveal a pleasant surprise,0
"‘Woke’ is not a dirty word but a moral duty, says a senior BBC editor, defending the corporation’s decision to ‘repurpose’ classic novels by giving them more black, female and Asian characters even when this is historically inaccurate.",0
“Harry Potter” author J.K. Rowling said on Monday she had recovered from a suspected case of COVID-19 after two weeks of illness.,0
"“He won because the Election was Rigged,” Trump wrote, not referring to Biden by name, adding a list of complaints about vote counting.",0
"“I would shut it down; I would listen to the scientists,” Biden told ABC News alongside his new vice presidential running mate, California Sen. Kamala Harris.",0
"“Mike Pence and the task force have done a great job,” Trump said during a visit to a mask factory in Arizona.",0
"“She will be inheriting a government in crisis,” the post states, touting a plethora of false narratives routinely peddled by Trump’s critics.",1
"“The goal is to send a message of peace,” the 22-year-old claimed. He insisted that the original idea was to show a man stealing inexpensive goods and showing a similar scenario to George Floyd’s death, with a police officer on the thief’s neck.",0
"“We can’t keep our country closed for the next five years,” Trump said, when asked why it was time to wind down the task force.",0
