sentence,label
Ten pak určitě rozsoudí i tuto etapu dějin JB.,0
"Tradiční nizozemské produkty jsou: tulipány, dřeváky, sýr (goudský, edamský, leerdamský, leidenský, fríský, severo-holandský a jiné), delftský modrý porcelán a velké množství a druhů jízdních kol.",0
o podvodech na spotřebitele.,0
Režii dostal již zkušený režisér Hugo Fregonese.,0
"anglická wikipedie, dále obvinění, že se jedná v podstatě o pseudovědu, např.",0
"V 18 letech přestoupil do Slavie, kde prošel staršími dorosteneckými týmy a rok 2009 začal v B-týmu.",0
S článkem Svěcená voda a před úpravou i s článkem Regenerace je však trochu problém.,0
"V obou případech jde o frakce, jejímiž členy jsou především politická uskupení ležící na pravém okraji politického spektra.",0
V roce 2011 zde trvale žilo 72 obyvatel.,0
Také,0
pak Římany a pak napříč stoletími následovala pronásledování další.,0
Dne 13. dubna 2010 udělila Akreditační komise MŠMT navzdory opačnému stanovisku pracovní skupiny pro lékařské obory akreditaci oboru všeobecné lékařství a otevřela tak cestu transformaci fakulty zdravotnických studií na lékařskou fakultu.,0
"2012, 08:34 (UTC)",0
Se stranou je spojen měsíčník Racja Polska.,0
"Vznikla z Royalistického hnutí Koruna Česká, založeného na podzim roku 1990 při příležitosti setkání přívrženců Českého království v Praze na Smíchově.",0
Článek potřebuje zásadně přepracovat.,0
"Milan Volf je bývalým hokejovým útočníkem, synem slavného trenéra Jaroslava Volfa, odchovanec HC Kladno.",0
"Kritici albánského separatismu též připomínají obsazení Albánie fašistickou Itálií a rozšíření země o část dnešní Černé Hory, Kosova, část Srbska a Makedonie.",0
"V létě 2018 odešel z Realu Cristiano Ronaldo , který v minulých sezónách nastřílel mnoho gólů, a trenér Zinedine Zidane.",0
"Ke skladebně i vizuálně jednodušším filmům patří reportáže Jak se točil Tankový prapor (1991), Jak se točila Prima sezóna (1993) a příspěvky do sérií ČT EGO (Skrytá podoba Jiřího Davida, 1995; Tichý Američan v Praze, 1995; Nelžu a nekradu, 1996) a Soumrak vynálezců (Jablko je vinno; Kola kolem dokola, oba 1996).",0
V té době se přihlásil na casting k filmu Snowboarďáci (2004).,0
"Po kapitulaci Francie založil a následně vedl hnutí Svobodné Francie, které pokračovalo v boji na straně Spojenců.",0
"Vytvořil tak integrální systém cvičení nazvaný Jóga v denním životě, který se z Evropy rozšířil do všech částí světa.",0
"Operace Oluja (česky „bouře“) (4. až 7. srpna 1995) byla vojenská operace, v níž chorvatské vojenské a policejní jednotky (s pomocí jednotek Armády BiH) obsadily území osídlené převážně chorvatskými Srby.",0
Prof. RNDr.,0
Ministerstvo vnitra ČR ji jako politickou stranu zaregistrovalo 26. června 2009.,0
"Organizace je pobouřena přestavbami německých škol a nemocnic na ubytovny pro muslimy, jakož i šikanou německých dětí ze strany muslimských a tím, že němečtí představitelé dokonce zašli až tak daleko, že kvůli této menšině dokonce navrhují o vánocích zpěv islámské písně , přestože muslimská protistrana není ochotná ke vstřícnému gestu v podobě zpěvu vánočních koled.",0
