sentence,label
"Daleko od nebe je oslnivý koncepční počin , ale co víc , je to dílo strhujícího dramatu . ",1
"m&#225 ; rton se vzácným darem spojit subjektivitu s biografickými fakty přivádí sabinu spielreinovou zpět k životu, tělem i duší . ",0
"herci jsou nuceni potýkat se s mlhavými motivacemi , které nikdy nedojdou do centra pozornosti . ",1
film skutečně zachraňuje [bratry funky] ze stínu motownu . už bylo na čase . ,1
"sofistikovanější a literárnější, než takové snímky obvykle bývají... zábavná vychytávka. ",1
přiznává se ke spáchání série obzvlášť děsivých vražd výhradně ženských obětí . ,0
"Film je zábavný a je stejně dobrý, ne-li lepší než většina toho, co dávají v sobotu ráno v televizi, zejména ty pseudovzdělávací věci, které všichni nemůžeme vystát. ",1
"příběh zachycuje dilema nadaných hudebníků, kteří mění hudbu v profesionální kariéru, aniž by ztratili uměleckou integritu a duši . ",0
"okamžitě se mezi nimi objeví zlá krev, přičemž chambers nechce být nikomu druhý, což vede k hádce v jídelně mezi muži . ",0
"Barry egan ( adam sandler ) je majitel malé firmy se sedmi sestrami, kvůli jejichž týrání zůstal sám a nedokázal se zamilovat . ",0
"cinema paradiso je i po tolika letech stále strhující , stojí jako jeden z největších filmů o filmové lásce . ",1
"Ale věci nejsou vždy takové, jak mohou vypadat . ",0
"temná a svérázná komedie odehrávající se ve výstředním židovském domově důchodců v severním Londýně , paradise grove se točí kolem dysfunkční rodiny, kterou tvoří 79letý izzie goldberg , odhodlaný zemřít důstojně , jeho dcera dee perry , směs tradiční židovské matky a dítěte šedesátých let , a její dospívající syn keith , který je napůl černoch a napůl žid a pochopitelně prochází krizí identity . ",0
"je to svého druhu fotografický zázrak , a rozhodně je to neocenitelný záznam toho zvláštního rybího společenství . ",1
"' [sex a lucia] je tak svůdný a hluboký , jako bychom byli svědky toho, jak se řecký mýtus svinuje a rozkvétá ... . '",1
"tartakovského tým má až obludné schopnosti vizuálního kouzla , ale pětice scénáristů sklouzává do moderních kolejí vypravěčské banality . ",1
"je to krásný , smutný tanec , který podtrhuje kwanův jedinečný režijní styl . ",1
"Spisovatel vytváří příběh staršího muže, který hledá štěstí kvůli nedávné ztrátě manželky . ",0
"unavený , zbytečný retreat... vyčpělá kopie snímku, který nebyl tak skvělý už od začátku . ",1
[Brehenyho] objektivy z míst Nového zélandu a Cookových ostrovů zachycují krásu země i lidí . ,1
"bráno mimo kontext současného politického klimatu ( viz : teroristé jsou zlejší než kdy jindy ! ) , je suma všech obav prostě dobře natočený a uspokojivý thriller . ",1
"film poskytuje skvělý vhled do neurotického myšlení všech komiků - dokonce i těch, kteří dosáhli absolutního vrcholu . ",1
"Tento strhující dokumentární film v utajení není pro slabé povahy , zavede vás hluboko do světa, kde je velmi často bolest a krev cenou za slávu . ",0
"lindberg prokazuje pozoruhodný smysl pro místo , bystré pochopení pro to , že emoce se ve venkovském prostředí vaří do koncentrátu , nikoliv ředí . ",1
"to, co dělá tuto poslední verzi čtyř pírek zatím nejlepší, jsou nádherné pouštní lokace ( v maroku ) , a vynikající akční sekvence . ",1
"ve svém kuřecím srdci , crush jde až do absurdních důsledků , aby se vyhnul samotným otázkám , které nastoluje . ",1
film se nakonec zlomí pod náporem svých dějových výmyslů a potřeby ujistit. ,1
V žádném případě nemohu uvěřit této snůšce nesmyslů . ,1
" "" frida "" je dobrý film , který má v sobě několik brilantních uměleckých momentů . ",1
"Je to další vyčpělý , na zabití , film , doplněný o postavy s tenkým ostřím a příšerné , slovními hříčkami obtěžkané dialogy . ",1
Frankofilové se budou vědoucně pochechtávat a vy jim budete chtít dát facku . ,1
"Žádné dobré herecké výkony nestačí na to, aby zachránily oleandrův neinspirovaný příběh . ",1
"Místo toho se ukryje v jeskyni na husím potoce , kde s pomocí své rodiny , přátel a sousedů vede partyzánskou válku proti expanzionismu a ničení historického majetku.... ",0
"bakchie ( bahk-ai' ) jsou napínavým a současným převyprávěním klasického mýtu, v němž se dionýsos, syn zeův, snaží pomstít Thébám, městu svého narození a místu kruté a strašné smrti své smrtelné matky semelé. ",0
"není pochyb o tom , že hvězda a všichni ostatní zúčastnění měli srdce na správném místě . kde měli hlavu , to si každý domyslí . ",1
"je to film, který si je tak nejistý svou schopností vzrušit, že pro podtržení děje vyvolá ne jednu, ale hned dvě okázale falešné bouřky . ",1
"jsou to kroky , film , který čerpá inspiraci od bratra marxe po monty pythona a byl natočen s tak nízkým rozpočtem , že by se při něm červenal i ředitel studia . ",0
S ukradeným policejním křižníkem ( červeným ) se destruktivní bytost řítí k malé a již odsouzené planetě : Zemi . ,0
film se drží mnohem blíže hornbyho kapkovitému zpovědnímu tónu než filmová verze high fidelity . ,1
" "" Je úžasné, jak jedna maličkost může spustit tak zajímavý řetězec událostí . "" ",0
"Jones však nepotřebuje být vyléčen - ale být přijat takový, jaký je a kým je . ",0
"O patnáct let později , a jejich přátelství rozkvetlo prostřednictvím e-mailu , raj se domnívá, že poznává tinu , zatímco ve skutečnosti je to pooja . ",0
"Podaří se Rachel ochránit Harpera a dokázat, kdo skutečně nastražil bomby ? ",0
"Společnost nabízela "" rozvoz ledu do hodiny "" a příslušenství související s ledem , jako jsou kleště , kbelíky a gurmánský led . ",0
"jak roste jejich adoptivní identita , parta se propadá do spirály vzrušení , excesů a zábavy . ",0
. nejen nesympatické . znepokojivé . nechutné . bez jakékoliv spásné hodnoty . ,1
"dokument o intelektuálním pacifistickém pokrokovém prezidentovi woodrowu wilsonovi , který ukazuje jeho místo v dějinách jako prezidenta, který dohlížel na přeměnu ameriky v jedinečnou světovou velmoc , ale také jeho neúspěšnou snahu o světový mír , způsobenou jeho slabou fyzickou výdrží a politickou obratností . ",0
"autonehoda přerušila jeho slibnou baseballovou kariéru , a když se mu zhroutil sen o hraní v první lize, sean se obrací k alkoholu . ",0
"v tomto debutovém krátkém filmu se meeper statečně snaží varovat návštěvníky ale-e-innu ( mezigalaktického napajedla s vlastním souhvězdím hvězd ) před hrozícím nebezpečím , jen aby se ocitl tváří v tvář těm nejděsivějším stvořením v galaxii . ",0
"Sam a ash se stanou dobrými přáteli, když bojují za záchranu celebiho před novým padouchem týmu rocket , marauderem v železné masce a jeho temnou koulí , která mění pok&#233 ; mony ve zlo a zvyšuje jejich síly na maximum . ",0
závratná digitální video oddyssea zasněženými lesy na severu státu New York . ,1
"Tělo nese na hrudi podivné znaky, které mohou, ale nemusí být znamením pojídače hříchů ( furmanna ) , odpadlíka, který nabízí rozhřešení , poslední pomazání, a tedy cestu do nebe mimo jurisdikci církve . ",0
je to bezkonkurenčně nejpodnětnější film letošního roku . ale za své složité intelektuální hrátky platí vysokou cenu . ,1
"výtvarná režie je často znamenitá a antropomorfní zvířecí postavy jsou díky promyšlenému make-upu nádherně realizovány , takže nezbývá než doufat, že případné vydání na dvd nabídne titulky a původní italskou zvukovou stopu . ",1
"film je příjemným rodinným filmem -- v podstatě určeným všem malým dětem, které mají rády koně . ",1
"ne zrovna hodný bubeníka , ale film s dostatečným kolegiálním ka-boomem na to, aby si zasloužil svůj název , drumline je hudební variace na bicí nástroje na všechny sportovní snímky, které jste viděli o talentovaném hot dogovi, který se nakonec naučí stát se týmovým hráčem . ",1
"Fran, posedlá svou prací návrhářky filmových kulis , trvá na tom, aby každá rekvizita byla skutečná &#173 ; i kdyby to náhodou byl pár nosorožčích očí nebo lidský prst . ",0
". diváci budou potřebovat všechno štěstí, které mohou mít, jen aby zjistili, kdo je kdo v této okázalé změti . ",1
"delia je temperamentní , dělnická žena z malého města v new yorku , která opustí svého násilnického manžela a vydá se na cestu za znovuzískáním ztracené moci . ",0
"absurdní a nudné , sonny je okořeněn nechtěným smíchem , který se , bohužel , vyskytuje příliš zřídka na to, aby se film stal dokonce i guilty pleasure . ",1
"jose je pouliční umělec, který má delší období sucha se ženami . ",0
"Kapurův rozporuplný vztah k látce vyústil ve film, který pracuje sám proti sobě . ",1
"Jejich úkol : za použití stejného dílu šikovnosti a humoru dopadnout arnolda gundarse , jednoho z nejúspěšnějších nelegálních obchodníků se zbraněmi na světě , a překazit jeho zrádné plány s letadlem . ",0
"vega a ulloa podávají silné výkony jako hlavní milenci a je tu několik silných vedlejších rolí , zejména od najwa nimri . ",1
"Film začíná jako kompetentní, ale nevýrazný... a postupně přerůstá v něco, co má značnou sílu. ",1
"Hlavní postava bruce je poctou zesnulé velké legendě bojových umění a zobrazuje mnoho stereotypních vlastností a ideosynkratických rysů, kterými se vyznačovala jeho slavná kariéra . ",0
Martin se chystá na rande naslepo a v jeho vnitřní vládě se ministři připravují na rutinní státní návštěvu . ,0
"depresivně zpátečnická ,,postfeministická"" romantická komedie, která se k ženám staví překvapivě povýšeně . ",1
"Jednoho dne se v šachtě "" pachatel "" objeví jeho vlastní jméno a prekogové předpoví, že za necelých 36 hodin zabije člověka, kterého nikdy neznal . ",0
ve skutečnosti plán : plán její matky . ,0
"takovou veselohru jsme neviděli od doby, kdy se říká, že to tak není ! ",1
humor je nucený a těžkopádný a občas prostě nepříjemný . ,1
"samotný příběh je vyprávěn převážně prostřednictvím rozhovorů na kameru s několika přeživšími , jejichž strhující vzpomínky jsou podány s takovou jasností, jako by se to všechno stalo teprve včera . ",1
"toto je scorseseho nejlepší dílo , a jeden z nejlepších filmů roku 2002 . ",1
"Když je Rodney najat, aby zabil vyděrače, který má špínu na kandidáta do amerického kongresu, je to jen další mrtvola za tučný balík peněz. ",0
"harrisonovy květiny dávají srdce na správné místo , ale mozek na žádné zvláštní místo . ",1
"Waydowntown stejně jako většina velkých měst , není místem , kde byste chtěli strávit zbytek života , ale určitě je to zábavné místo , které můžete na chvíli navštívit . ",1
Bettien se rozhodla spolupracovat s policií a díky jejím svědectvím došlo k mnoha cenným zatčením. ,0
Je však přepaden mexickou tajnou policií a je nucen infiltrovat gruopského politického aktivistu v hnutí 68 . ,0
"miller vypráví tento velmi poutavý příběh bez zbytečného povyku a hluku , mistrně vytrhává napětí z ticha . ",1
"Digitální video experiment Stevena Soderbergha je chytrý a řízný , rychlý a špinavý pohled na moderní život a filmový život . ",1
"třídílný dokumentární seriál , který zkoumá unikátní rehabilitační program pro recidivisty a členy gangů . ",0
"s joeyem se bolestně odcizili od chvíle, kdy se vincent rozvedl se svou ženou a opustil chátrající promenády long beach , long island kvůli anonymitě manhattanu a úspěšné kariéře u policie nypd . ",0
"Jeho tvůrce Steven Spielberg se tak dobře nebavil už dvacet let, od doby, kdy se s Indianou Jonesovou plahočil po světě a hledal obří ztracený popelník. ",1
"s pomocí sulty niny , která sedí sama uprostřed restaurace , se simone nechá strhnout flirtováním , hádkami a jídlem a zjistí, že někdy , to nejlepší nemusí být na jídelním lístku . ",0
"věrný britský bubeník , jeden z tisíců britských vojáků umístěných v americe , omylem upustí čutoru do potoka, když se ji snaží naplnit vodou . ",0
"chlap získá dívku , chlap ztratí dívku , diváci usnou . ",1
"je to film plný nesympatických , zlomyslných idiotů ; jestli se jejich přátelství podaří zachránit nebo ne , na tom nic nemění . ",1
"odporná , nesoudržná slátanina ... odporná napodobenina geniálního ""videodromu"" Davida Cronenberga . '",1
"film se dopouští tragické chyby tím , že se příliš dlouho táhne , snaží se zrcadlit každou následující událost v čínských dějinách : válku , revoluci , komunismus atd . ",1
"Ve vězení se obvykle perou s ochrankou , šílencem s nadváhou . ",0
"seděl jsem ve třetí řadě kina imax v sydneyském přístavu darling harbour , ale někdy jsem si připadal, jako bych byl v malém dvoumístném letadle, které neslo obří kameru po austrálii, zametalo a plachtilo, naklánělo se a vznášelo nad některými z nejexponovanějších míst.",1
"Pokud si mám vybrat mezi nádhernou animací a chabým příběhem ( jako třeba Planeta pokladů ) nebo tak-tak animací a napínavým , chytrým příběhem s partou atraktivních postav , beru vždycky to druhé . ",1
"o ótimo esforço do diretor acaba sendo frustrado pelo roteiro , que , depois de levar um bom tempo para colocar a trama em andamento , perde-se de vez a partir do instante em que os estranhos acontecimentos são explicados . ",1
"nedokonalý ? ano , ale také zajímavý a úctyhodný , hodnotný přírůstek do význačného filmového odkazu . ",1
" Svědčí to o značném kouzlu filmu, že dokáže pobavit, přestože se odehrává jako celovečerní sitcom plný stereotypních rodinných hádek. je tu naprostá nespoutanost a radost z toho, jak se příběh odvíjí... ",1
.............................................................. ,1
"Ritchie možná nemá v hlavě žádnou románovou myšlenku , ale umí upozadit madonnu . ",1
"jak už to u podmořských duchařských příběhů bývá , pod hodí svou strašidelnou síť do atlantického oceánu a vyplivne ji zpět , zjizvenou a ohořelou , někde severozápadně od bermudského trojúhelníku . ",1
"dokonalý prostředek pro berlinga a bouquetovou , a oba jsou vynikající . ",1
"Pro koho je tenhle film určen? ne pro děti, které nepotřebují lekci z odpornosti. není ani dost chytrý nebo ostřejší pro starší diváky - ne každý si myslí, že vtipy o hovínkách jsou ""ostré"". '",1
"jakkoli vzrušující může celá tato exotika znít pro typického paxového diváka , nás ostatní ukolébá do kómatu . ",1
. křída to jako nejhorší druh hubristické hlouposti . ,1
