label,sentence
1,"12. listopadu 1927 - 17. listopadu 1958 kisai (騎西町), prefektura saitama) byl významný japonský matematik."
0,"bohuslav švarc (6. prosince 1921, habří - 18. prosince 2011, české budějovice) byl český odborník na pěstění lesů a bývalý ředitel lesního závodu nové hrady (1956-1982)."
0,"prof. otakar hostinský (2. ledna 1847 martiněves – 19. ledna 1910 praha) byl český estetik, teoretik hudby a divadla a profesor pražské univerzity, který se řadil k českému realistickému hnutí."
0,"inocenc ladislav červinka, křestní jméno uváděno též innocenc (1. února 1869 břest u kroměříže – 3. října 1952 brno ), byl moravský archeolog konce 19. a první poloviny 20. století, sběratel a organizátor archeologické činnosti na moravě."
0,"alois zátopek (30. června 1907 – 22. června 1985) byl český geofyzik, zakladatel moderní české seismologie."
0,"– jiří melantrich z aventina, český renesanční tiskař a nakladatel († 19. listopadu 1580)"
0,"françois mansart (23. ledna 1598 v paříži – 23. září 1666 tamtéž) byl francouzský architekt, představitel klasicismu."
1,za nepřiměřeně tvrdý trest byla tolokonnikovová označena organizací amnesty international za politickou vězeňkyni .
1,andy warhol - americký velkomnožič umění
0,navrhuji něco celou dobu sporu a vy neustále trváte na umístění do odstavce osobní život.
1,"dániel berzsenyi (7. května 1776, egyházashetye – 24. února 1836, nikla) byl významný maďarský básník."
1,"wigan je významné město v severozápadní anglii, sídlo stejnojmenného distriktu metropolitního hrabství velký manchester."
0,"kiske se následně pustil na sólovou dráhu a vydal sólová alba instant clarity, rts a kiske ."
0,"valtr taub, původně walter taub, respektive valter taub (18. června 1907, brno – 30. září 1982, vídeň, rakousko), byl česko-německý herec, divadelní režisér a novinář židovského původu."
1,"zejména svědkové nepovažují ježíše krista za všemohoucího boha , otce , ale za božího syna, prvního z andělů, a stvořenou bytost."
1,"a nevím už kolikrát to opakuji, ale snad byste to měl být konečne schopen pochopit: vladimír hubený není žádnou odbornou autoritou na poli filozofie, takže není oprávněn hodnotit odsah pouze na podkladě svých tvrzení."
0,"juraj chmiel ( nestraník , navržen ods) – ministr bez portfeje, pro evropské záležitosti (od 30. listopadu 2009)"
1,"viktor tegelhoff (22. prosince 1918 ružomberok — 9. září 1991 bratislava) byl slovenský fotbalista, technicky nadaný útočník, reprezentant československa."
0,"robert john arthur „rob“ halford ( 25. srpna, 1951) je zpěvák metalové skupiny judas priest."
1,", v důsledku občanského odporu a změny vládní garnitury po roce 1996 se nebezpečí těžby snížilo ."
1,"smiřičtí se zasloužili o  významný rozvoj regionu – například v jičíně vystavěli renesanční zámek, který pak do nynější podoby přestavěli italští architekti, povolaní albrechtem z valdštejna."
0,"nikola tesla (10. července 1856 smiljan, rakouské císařství, dnes chorvatsko – 7. ledna 1943 new york) byl vynálezce srbského původu."
1,"2006 jan čulík prohlásil , že ukončil na základě údajného střetu zájmů spolupráci s publicistou a spisovatelem sklenářem."
0,"náklady na zavedení otisků prstů a další biometrické snímání zabezpečení v datových centrech jsou stále poměrně drahé, a mnoho středisek stále spoléhá na id odznaky."
1,"mladí v partě je oblíbený britský sitcom, poprvé vysílaný v roce 1982 na bbc2."
0,"vztah mezi vatikánem a itálií byl pak ještě upraven konkordátem z roku 1984. ztrátu území, patřících původně k papežskému státu, se itálie zavázala odškodnit částkou 1,75 miliard lir ."
0,"třeba pak pochopíte i to, že mi nejde ani tak o přesun, ale o změnu současného stavu článku, jehož název nyní bez dalšího akceptuje extremistický pov, který - patrně jen shodou okolností - zastáváte i vy."
1,"jeden ze symbolů antikomunismu, zobrazující zneužití této ideologie k násilnému podrobení národů světa"
1,jindřich wankel (15. července 1821 praha – 5. dubna 1897 olomouc ) byl lékař a významný český archeolog a speleolog.
0,"dalibor chatrný (28. srpna 1925 v brně – 5. července 2012 v rajhradě u brna) byl český výtvarník, konceptuální umělec – malíř, grafik a pedagog, který byl po celý svůj život úzce spjat s městem brnem."
1,jedná se o vyhlídkový bod a oblíbenou zastávku turistů na hraně hlubokého říčního údolí s úchvatným výhledem do kaňonu dyje.
1,"okoun byl vytvořen v roce 2001 tvůrcem serveru průvodce, pavlem kolesnikovem , víceméně jako reakce na ukončení činnosti zmíněného serveru, a stal se téměř okamžitě útočištěm velké části diskutérů z průvodce."
