label	sentence
__label__neutral	například tehdejší ministr vladimír mlynář ač původem převážně žid na pohřbu biháriové pronášel že se stydí za to že je čech a aniž by soud o případu rozhodl požadoval pro podezřelé co nejpřísnější tresty
__label__biased	multiplex numtkn vysílá z městského vysílače barvičova a vytvořil s vysílačem hády jednofrekvenční síť na kanále numtkn
__label__neutral	panovníkovi náležela mimo jiné nejvyšší moc soudní výhradní právo zákonodárné ius legis ferendae a moc správní organizace úřadů
__label__neutral	earth in the balance ecology and the human spirit houghton mifflin numtkn
__label__biased	během své historie obdrželi množství ocenění za živé pojetí skladeb prodeje alb i hudební přínos
__label__biased	staropramen ležák světlý ležák obsah alkoholu numtkn
__label__biased	před sametovou revolucí pracoval na ministerstvu zahraničního obchodu koncem numtkn
__label__biased	obchodní odd e mail sales@atlas as cz
__label__neutral	dřívější členové řádu i řada dnešních na něj nahlíželi jako na akademii neviditelných z vnitřních světů složenou z velkých adeptů jejímž cílem je pomoci duchovnímu rozvoji lidstva
__label__biased	podle jiřího ungera předsedy evropské evangelikální aliance se tento překlad nebojí experimentovat a zdůraznit jistou expresivnost písma kterou máme tendenci potlačovat a uhlazovat
__label__neutral	století zejména v prostoru afarského osídlení dnešní eritrea a džibuti
__label__biased	v roce numtkn obdržel titul kandidát věd v oboru politologie na soukromé ukrajinské mezioblastní akademii personálního managementu největší soukromé vysoké škole na ukrajině kterou např
__label__biased	všichni fanoušci napjatě sledují vývoj prvního kola stanley cupu a doufají v příjezd zejména zkušeného beka marka židlického a výtečných útočníků martina erata s patrikem eliášem jejichž týmy s vysokou pravděpodobností do numtkn
__label__biased	jednání negativních manipulátorů může být odborníky považováno i za psychické týrání
__label__biased	ateismus existoval už ve starověkém řecku s nástupem křesťanství byl ale tvrdě potírán
__label__biased	mluvilo se o ní doma v práci školách vymýšlely se na ní vtipy a dokázala si získat diváka
__label__neutral	za jeho vlády zemřelo nejméně numtkn numtkn lidí tisíce jich byly mučeny mrtvými těly svých odpůrců nechal krmit krokodýly
__label__biased	to tak dokazuje že rozdělení lidí do ras nekopíruje genetické rozdíly mezi nimi a minimálně je v tomto směru z pohledu dnešní vědy zavádějící
__label__biased	podle jeho mínění má pojem sekta i vtomto relačním vztahovém smyslu tedy jako de facto přirozeně negativní vztahu mezi většinou a náboženskou menšinou vrámci sociologie náboženství religionistiky a psychologie náboženství svoje místo
__label__neutral	ondřej kobza by v ulici rád viděl dobrý antikvariát masážní salón či saunu a třeba krámek s kvalitními potravinami a byl by rád kdyby spřátelenými podniky byly nahrazeny zdejší dvě herny
__label__biased	sethovské gnóze označován jako íc xc či íc xpc tj
__label__neutral	naproti tomu omezil udělování prezidentské milosti
__label__biased	tímto tahem ovšem čt u české veřejnosti mnoho bodů ztratila
__label__neutral	od numtkn hodin se ve friend prague konala noční taneční welcome párty prague pride numtkn součástí programu bylo malování na tělo
__label__neutral	mimosmyslové vnímání je způsob získávání informací o okolním světě které má být založeno na dosud neznámých smyslech popřípadě síle neznámé povahy která umožňuje přenos informace
__label__biased	jeho moderní forma vznikla v době romantismu jako reakce na osvícenské teorie o občanské rovnosti
__label__biased	prvotní analogie pro tyto aspekty jsou slunce jang a měsíc jin
__label__neutral	k jeho výrobě se používají listy aloe pravé ze kterých se po umytí ve slabě chlorované vodě opatrně odstraní vnější vrstvy tak aby nedošlo k porušení zelených pletiv
__label__biased	vlastnosti přiřazované tradičně jednotlivým znamením zvěrokruhu lze podle knihy encyklopedie západní astrologie zobecnění přiřadit jen pokud toto postavení ve znamení podporují minimálně dva další astrologické faktory
__label__biased	tento zákon lze označit jako nedůsledně dualistický někteří právní teoretici ho označují jako quasidualistický což ale není přesné
__label__neutral	v září numtkn při sjezdu nsdap v norimberku nebo velení vůdcovu doprovodnému praporu během vpádu německých vojsk do rakouska sudet prahy a memelu
__label__neutral	od numtkn hodin se v domě světla konala debata hiv a coming out od numtkn hodin v klubu a galerii numtkn přednáška a výstava teplý komiks od numtkn hodin v q café setkání rodičů a přátel lgbt lidí
__label__neutral	je to kyvadlová lanovka s otáčející se kruhovou podlahou osmdesátimístné kabiny
__label__neutral	ten je připisován jak odeznění deriho anomálie tak zrušení přímé volby premiéra
__label__biased	pokud se uchazeč hlásí na více fakult které přijímají podle dané zkoušky z nsz jeho výsledek se započítává naráz do přijímacího řízení na všechny tyto fakulty
__label__biased	většina burz také akcie na jméno nepřijímá nebo jen omezeně protože převody akcií komplikují denní obchody a jejich rubopisování
__label__biased	cena za proklik ovlivňuje hodnocení klíčového slova zda se reklama aktivuje a na jaké pozici
__label__biased	má třináct pater a více jak tisíc místností v současné době je potála cílem mnoha převážně buddhistických poutníků avšak i turistů z celého světa
__label__neutral	hraje se ze soundsystémů skupina lidí vlastní hudební aparaturu a dodávky nebo nákladní auta přijede postaví to a hraje
__label__biased	stanovili výkon a komfort osobního poslechu hudby na celém světě
__label__biased	dubna numtkn se jednotka unso zúčastnila shromáždění proti lukašenkovi
__label__biased	jiří fajt tento výrok prezidenta označil za nepravdivý absurdní a účelově dehonestující neboť s generálním partnerem komerční bankou jednal při sjednávání sponzorské smlouvy také o případném narovnání dlouhodobě neuspokojivé platové situace v národní galerii např
__label__biased	právo dílo užít je dílo rozmnožit § numtkn tzn
__label__biased	částečně se živil také malováním obrazů
__label__neutral	je celosvětově známý jako zpěvák velmi úspěšné rockové kapely guns n roses a také je jediným původním členem v kapele
__label__biased	lze proto o původní gnózi hovořit jako o védské gnózi upanišadové literatury coby teoretického podkladu ke gnostické praxi a literárního základu k interpretaci indoevropské védské tradice
__label__biased	okupační orgány přesto všechno považovaly junáka za nebezpečnou opoziční organizaci
__label__biased	vydané na základě zákona a v jeho mezích
__label__biased	nesouhlas s užíváním i propagací antikoncepce kondom snižuje integritu a důstojnost sexuálního aktu
__label__neutral	numtkn ekonomická teorie a ekonomická reforma
__label__neutral	evropští učenci se opakovaně pokoušeli seřadit súry chronologicky podle předpokládané doby seslání jejich podstatné části
