sentence,label
"Giuseppe (též Josephus/Josepho) Arcimboldo psaný i jako Acimboldi či Arcsimbaldo (1527 Milán – 11. červenec 1593 Milán) byl italský malíř působící ve službách Habsburků na dvorech ve Vídni a v Praze a to jako dekoratér a svérázný manýristický portrétista, který cykly mužských a ženských podobizen sestavoval na způsob zátiší z rozličných předmětů, plodů, květin i zvířat.",0
Stanislav Bechyně (20. července 1887 Přibyslav – 15. října 1973 Praha) byl český konstruktér a pedagog.,0
"Václav Vydra (29. dubna 1876 Plzeň – 7. dubna 1953 Praha) byl významný český divadelní herec, režisér, autor memoárové literatury a úvah o divadle.",1
"Viktorie Terezie Židová (9. června 1792, Červená Hora - 17. října 1868, tamtéž) byla podkrkonošská žebračka, inspirace Boženy Němcové, podle níž autorka napsala postavu Viktorky ve své slavné Babičce.",1
"V Miami sice vypadl ve 3. kole s Roddickem, ale i tak byla patrná jeho forma před začátkem antukové sezóny.",0
"Terčem kritiky se stala jeho snaha za pomoci dotací podpořit jak průmysl, tak ekologii.",0
"Sherylin Fenn ( 1. února 1965 Detroit, Michigan) je známá americká herečka.",1
Už tak článek je extrémně nevyvážený.,0
Bedřich Smetana (2. března 1824 Litomyšl – 12. května 1884 Praha ) byl významný český hudební skladatel období romantismu.,1
Je zásadním odpůrcem transparentního jednání funkcionářů a zaměstnanců .,1
Jeho dílo je národopisným dokumentem folklóru jižní Moravy.,0
První budovu (parcela 2312/27 v katastrálním území Slatina) v této průmyslové zóně postavila roku 2001 společnost Flextronics.,0
"Jeremy John Irons ( 19. září 1948, Cowes, ostrov Wight) je britský herec, nositel Tony Award (Tony Award for Best Performance by a Leading Actor in a Play za svou roli ve hře The Real Thing, 1984) a v roce 1990 získal Oscara za nejlepší herecký výkon ve filmu Zvrat štěstěny (Reversal of Fortune).",0
"John James Audubon (26. dubna 1785, Les Cayes, Haiti – 27. ledna 1851, Manhattan, New York) byl francouzsko-americký ornitolog, přírodovědec a malíř.",0
"Je to velmi náročná práce nejen k počtu děl na zámku, ale také vzhledem k jejich stáří a potřebným znalostem.",1
"– Don Angelo Pietra, italský mnich, významný ekonom († 1590)",1
"Tento poměrně pokročilý archosaurus žil před asi 223-230 miliony let (období triasu na území dnešního jižního Polska (lokalita Krasiejów, blízko Opole) a možná i České republiky, jak se domnívá polský paleontolog profesor Jerzy Dzik, který fosílie silesaura objevil a v roce 2003 i popsal.",0
Boulevard Saint-Germain je bulvár v Paříži.,0
}}List Jaromíra Soukupa je české politické hnutí založené mediálním magnátem a moderátorem a ředitelem TV Barrandov Jaromírem Soukupem.,0
"Autorem je E. C. Tolman, americký představitel neobehaviorismu, který vycházel z teorií gestaltismu.",0
"Komunistiký režim v mnoha ohledech selhal, ale také v mnoha uspěl, o tom se ale dozvíme málo.",0
"Jaroslav Pitner (7. února 1926, Chorušice - 20. března 2009, Jihlava) byl významný hokejový trenér československého národního hokejového mužstva.",1
"www.czbeatles.cz, nejrozšířenějsí stránky o The Beatles v českém jazyce",1
V Aténách umírá významný řecký stratég Periklés při morové epidemii ( 500 př.,1
"Abrahám Leuthner (kolem 1640 – 12. ledna 1701) byl významný český barokní stavitel, architekt a autor prvního českého architektonického vzorníku.",1
Od roku 2010 se v Praze soustřeďuje především na soukromou lékařskou praxi v oboru psychiatrie ( pomáhá mj.,0
"V roce 2007 se dostal se skupinou Kabát do Eurovize v Helsinkách, kde už se bohužel neumístili.",1
"Popírání holocaustu v souladu s vědeckými metodami je jedním z nových proudů tohoto původně v podstatě seriózního historického proudu, který tak značně zdiskreditovalo.",0
Jan Stallich (19. března 1907 v Praze – 14. června 1973 v Praze) byl významný český kameraman.,1
"Iain Crichton Smith (1. ledna 1928, Glasgow – 15. října 1998, Taynuilt) byl skotský básník, romanopisec, překladatel a esejista.",0
"30. března – František Antonín Špork, český šlechtic, významný mecenáš umění ( 9. března 1662)",1
"Narodil se carevič Alexej, který se však carem nikdy nestal.",0
V roce 2002 se stala velmi populární strana zavražděného politika Pima Fortuyna a v roce 2006 získala devět mandátu Strana pro svobodu politika Geerta Wilderse.,0
Izraelské vojenské letectvo zaútočilo raketami na cíle organizace Hamas v Pásmu Gazy.,0
Po válce byl československým Národním soudem odsouzen k smrti za válečné zločiny a popraven.,0
"Vojta Náprstek, původním německým jménem Adalbert Fingerhut, (17. dubna 1826 Praha – 2. září 1894 Praha) byl významný český vlastenec, národopisec, mecenáš a bojovník za pokrok.",1
Vzhledem k expanzivní politice Baccaratu je dnes možné najít jeho obchody na všech kontinentech.,0
"Hirzo z Klingenbergu (†1275) – významný dvořan Přemysla Otakara II., lokátor města",1
"Manželka Milana Hlaveše Song Mi Kim je uznávaná sochařka jihokorejského původu, která se zabývá mimo jiné tvorbou objektů či instalací ze skla.",1
"Vojtěch Sedláček (9. září 1892, Libčany – 3. února 1973, Praha) byl český malíř zejména krajiny východních Čech.",0
"František I. Nádasdy (čti: Nádašdy; německy: Franz Nádasdy von Fogarasföld; maďarsky: Nádasdy Ferenc) – (6. října 1555, Šárvár – 4. ledna 1604, Šárvár) byl uherský šlechtic, významný bojovník proti Osmanským Turkům, manžel Alžběty Báthoryové.",1
"David Michael Murray ( 23. prosince 1958 Edmonton, Londýn) je anglický kytarista a skladatel; člen legendárních heavymetalové skupiny Iron Maiden, ke které se připojil jen dva měsíce po jejím založení v roce 1975.",1
Nová noční můra je sedmé a poslední pokračování kultovní hororové série filmů s názvem Noční můra v Elm Street.,1
Jejím dalším manželem se stal významný francouzský skladatel elektronické hudby Jean-Michel Jarre.,1
"Jan Skácel (7. února 1922, Vnorovy – 7. listopadu 1989, Brno) byl moravský básník, prozaik a autor poezie pro děti.",1
Proč se odkaz 1 obrací na titulní stránku UPA a ne (vyváženě) také na stránky www.barvyzivota.cz s veřejně poskytnutými podklady pro validizaci?,0
"Pietro Bembo (20. května 1470 - 18. ledna 1547) byl italský renesanční učenec, básník a prozaik, jeden z tvůrců moderní spisovné italštiny.",0
"Vladimir Andrejevič Atlantov ( ,  19. února 1939 Leningrad, Sovětský svaz) je sovětský a ruský operní pěvec v tenorovém hlasovém oboru.",0
