text,labels
V roce 1920 navrhl monumentální válečný hřbitov v Lovisse.,2
V roce 2001 se zúčastnila volejbalového Poháru mistrů FIVB.,1
Správně! Walter Havighurst byl autorem mnoha knih. Oblíbil si knihu Annie Oakleyová z Divokého západu.,2
"Ano, vydala s nimi pouze jedno album, ""wołanie o słońce nad światem"".",1
hodně jsem si hrál s kamarády muži,2
"Mně se daří skvěle, a co jí?",1
"Skvělé. V dubnu 1940 potopil kapitán ""Seawolf"" německou obchodní loď ""Hamm"".",2
"Jsem Nike; právě jsem dala dárek dvojčeti jménem Isabel.  Co je s tebou, Rasiyah?",1
Ráda se opaluji a tančím. Ráda také trávím čas se svým manželem!,1
"Ahoj Sáro, co ty? Čím se živíš?",1
jak si užíváte jógu,2
baseballový tým je nejúžasnější věc na kolážích.,1
"Ahoj Moniko, bojoval o něj ve volbách do státního zastupitelstva.",1
"Pane, já jsem Toluwalase, jak se dnes máte?",2
"Ano, myslím, že o ní víte hodně.",1
"Páni, takže ty jsi knihomol.",1
"Ne, to jsem nevěděl. Věděl jsem, že hrál ve Skotsku a vyhrál pohár.",2
"Hej, můžeš mi říct něco o tom chlápkovi, co se jmenuje Fáelán mac Murchado?",2
"po odchodu do důchodu budu ráda učit hudbu, pokud s námi John nebude mít nějaké plány.",2
Proč? Studuješ málo? Trávíš příliš mnoho času přemýšlením o klucích?,1
Vážně? Starám se o černobílého tabbyho jménem kráva. Mám ji od Christophera.,2
"Co děláš pro zábavu, kámo?",2
"Ano, ten muž to udělal v roce 1923. Začal se učit v roce 1921.",2
Takže byl přinejmenším tak vlivný. kde jste o něm četl?,2
"Ahoj! Jmenuji se Naviel, jak se dnes máš? Neviděl jsi Jerryho?",2
"většina lidí, kterým se říká John, se obvykle jmenuje Torrence the Titan.",2
"Jak se ti daří, Dervine? vypadáš nádherně.",1
"mé oblíbené filmy jsou akční filmy, vy?",2
"to je úžasné. slyšela jsi o Kate Mullanyové, opravdu se s ní ztotožňuji.",1
má také ráda poezii?,1
"Ahoj Ardine, já jsem Tierny. Dostal jsi jeho zprávu?",2
"Ne. Prosím, řekněte mi o ní.",1
"Ano, hraji baseball se svým kamarádem v mužském týmu. Hraješ?",2
"Ahoj, já jsem sir Wallis, jak se dneska máte?",2
"Naučil jsem ho poslouchat základní povely, ale už to nefunguje.",2
"ano, vypadá to, že ji porazil Rene Canuel z Bloku Quebecois.",1
ale trochu v pohodě ve srovnání s rst,1
to je úžasné jméno. Já a smyčce pracujeme jako policisté v Detroitu.,2
