label,sentence
0,"mathias schönerer (9. ledna 1807, vídeň, rakousko – 30. října 1881 vídeň, rakousko) byl rakouský železniční inženýr."
1,anglická wikipedie k tomu má dokonce zpeciálně uzpůsobené citační šablony.
1,"josef haslinger ( 5. července 1955 zwettl ve waldviertelu, rakousko) je významný rakouský spisovatel."
1,"pokud jde o sekci ""kritika"" máte plné právo odkázat na věrohodné prameny dokládající neoprávněnost této kritiky, eksitují -li nějaké."
0,"jiří melcelius (1624 horšovský týn – 31. března 1693 praha) byl český barokní skladatel, hudebník a regenschori 2. poloviny 17. století."
0,"československého národa), jemuž připsal užívání „československého“ jazyka."
0,"bez ztráty setu se probojoval až do semifinále, kde však i přes nadějný začátek podlehl 1:3 rafaelu nadalovi."
0,"emil viklický ( 23. listopadu 1948, olomouc) je český jazzový pianista a hudební skladatel."
0,miloš budík ( 24. srpna 1935) je český fotograf.
1,"v omezené míře se rhodium používá k výrobě šperků a k pokovování méně ušlechtilých kovů, v poslední době se často rhodiují stříbrné šperky, které jsou tak chráněny před korosivním černáním a zvyšuje se jejich lesk."
0,václav koranda starší (?-1453 litice) byl jeden z radikálních husitských kněží a duchovní i politický vůdce táboritů.
1,"(17. prosince 1945 – 31. července 2012 brno) byl významný moravský archeolog, specialista na dobu laténskou, dlouholetý ředitel ústavu archeologické památkové péče v brně."
1,byznys podle richarda questa – akviziční pořad slavného moderátora cnn richarda questa.
0,souboj s medvědem se natáčel na konopišti .
0,insignie těchto řádů byly tištěny u titulu.
1,"v lednu 1948 bylo členy ksč zhruba 32 % příslušníků vb, po únoru 1948 byl vstup do ksč otevřen všem příslušníkům snb a stranická organizovanost dosáhla neuvěřitelných 95,7 % k 31."
1,"– čang ťü-čeng, významný úředník za vlády mingských císařů lung-čchinga a wan-liho († 1582)"
0,"brikcí z cimperka (asi 1535-1599) byl pražský zvonař, kovolijec a pražský měšťan."
0,marshall sahlins ( 1930) je americký antropolog.
0,"františek filipovský (23. září 1907 přelouč – 26. října 1993 praha) byl český herec a dabér, který působil v divadle, filmu i televizi."
